YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2011, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2012, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2013, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2014, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2015, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2016, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2017, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2018, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2019, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2020, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2021, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2022, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2023, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2024, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2025, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2026, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2027, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2028, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2029, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
2030, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
